|  BioSampleName   |    Id     | 
| 1                | 610706528 | 
| 2                | 610706529 | 
| 3                | 610706530 | 
| 4                | 610706531 | 
| 5                | 610706532 | 
| 6                | 610706533 | 
| 7                | 610706534 | 
| 8                | 610706535 | 
| 9                | 610706536 | 
| 10               | 610706537 | 
| 11               | 610706538 | 
| 12               | 610706539 | 
| 13               | 610706540 | 
| 14               | 610706541 | 
| 15               | 610706542 | 
| 16               | 610706543 | 
n=16

| DMSO_1_STAT5     | 614276798 | 
| RUX_1_STAT5      | 614276799 | 
| CBP_1_STAT5      | 614276800 | 
| Combo_1_STAT5    | 614276801 | 
| DMSO_2_STAT5     | 614276802 | 
| RUX_2_STAT5      | 614276803 | 
| CBP_2_STAT5      | 614276804 | 
| Combo_2_STAT5    | 614276805 | 
| DMSO_2_input2    | 614276806 | 
| RUX_2_input2     | 614276807 | 
| CBP_2_input2     | 614276808 | 
| Combo_2_input2   | 614276809 | 
| DMSO_2_H3K27ac2  | 614276810 | 
| RUX_2_H3K27ac2   | 614276811 | 
| CBP_2_H3K27ac2   | 614276812 | 
| Combo_2_H3K27ac2 | 614276813 | 
| CBP_DMSO_1       | 625657188 | 
| CBP_RUX_1        | 625657189 | 
| CBP_CBP_1        | 625657190 | 
| CBP_Combo_1      | 625657191 | 
| CBP_DMSO_2       | 625657192 | 
| CBP_RUX_2        | 625657193 | 
| CBP_CBP_2        | 625657194 | 
| CBP_Combo_2      | 625657195 | 
n=24

| P300_DMSO_1      | 625657196 | 
| P300_RUX_1       | 625657197 | 
| P300_CBP_1       | 625657198 | 
| P300_Combo_1     | 625657199 | 
| P300_DMSO_2      | 625657200 | 
| P300_RUX_2       | 625657201 | 
| P300_CBP_2       | 625657202 | 
n=8

total n=48

