Sample,Basic Statistics,Per base sequence quality,Per tile sequence quality,Per sequence quality scores,Per base sequence content,Per sequence GC content,Per base N content,Sequence Length Distribution,Sequence Duplication Levels,Overrepresented sequences,Adapter Content
CBP-1-H3K27ac_S11_L001.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
CBP-1-H3K27ac_S11_L002.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
CBP-1-H3K27ac_S11_L003.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
CBP-1-H3K27ac_S11_L004.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
CBP-1-input_S3_L001.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-input_S3_L002.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-input_S3_L003.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-input_S3_L004.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-2-H3K27ac_S15_L001.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,WARN,PASS
CBP-2-H3K27ac_S15_L002.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
CBP-2-H3K27ac_S15_L003.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,WARN,PASS
CBP-2-H3K27ac_S15_L004.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-2-input_S7_L001.bam,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
CBP-2-input_S7_L002.bam,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
CBP-2-input_S7_L003.bam,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
CBP-2-input_S7_L004.bam,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
Combo-1-H3K27ac_S12_L001.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
Combo-1-H3K27ac_S12_L002.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
Combo-1-H3K27ac_S12_L003.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
Combo-1-H3K27ac_S12_L004.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
Combo-1-input_S4_L001.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
Combo-1-input_S4_L002.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
