Sample,Basic Statistics,Per base sequence quality,Per tile sequence quality,Per sequence quality scores,Per base sequence content,Per sequence GC content,Per base N content,Sequence Length Distribution,Sequence Duplication Levels,Overrepresented sequences,Adapter Content
CBP-1-H3K27ac_S11_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,WARN,PASS
CBP-1-H3K27ac_S11_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,WARN,PASS
CBP-1-H3K27ac_S11_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,WARN,PASS
CBP-1-H3K27ac_S11_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
CBP-1-H3K27ac_S11_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,WARN,PASS
CBP-1-H3K27ac_S11_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,WARN,PASS
CBP-1-H3K27ac_S11_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,WARN,PASS
CBP-1-H3K27ac_S11_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
CBP-1-STAT5_S3_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-STAT5_S3_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-STAT5_S3_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-STAT5_S3_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-STAT5_S3_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-STAT5_S3_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-STAT5_S3_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-STAT5_S3_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-input_S3_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-input_S3_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-input_S3_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-input_S3_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-input_S3_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-input_S3_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-input_S3_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-1-input_S3_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-2-H3K27ac2_S15_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-2-H3K27ac2_S15_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
CBP-2-H3K27ac2_S15_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
