##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	RUX-2-H3K27ac_S14_L001_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3800672
Total Bases	286.7 Mbp
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.31300938360374	32.0	32.0	32.0	32.0	32.0
2	31.492527900329204	32.0	32.0	32.0	32.0	32.0
3	31.58866484663765	32.0	32.0	32.0	32.0	32.0
4	31.617707868503253	32.0	32.0	32.0	32.0	32.0
5	31.624684266361317	32.0	32.0	32.0	32.0	32.0
6	35.19757663907856	36.0	36.0	36.0	36.0	36.0
7	35.181737861094035	36.0	36.0	36.0	36.0	36.0
8	35.18552640164687	36.0	36.0	36.0	36.0	36.0
9	35.18927100260164	36.0	36.0	36.0	36.0	36.0
10-11	35.192210088110734	36.0	36.0	36.0	36.0	36.0
12-13	35.217363666214816	36.0	36.0	36.0	36.0	36.0
14-15	35.22032156418655	36.0	36.0	36.0	36.0	36.0
16-17	35.20205308429667	36.0	36.0	36.0	36.0	36.0
18-19	35.19561685407212	36.0	36.0	36.0	36.0	36.0
20-21	35.181647087672914	36.0	36.0	36.0	36.0	36.0
22-23	35.12921478096505	36.0	36.0	36.0	36.0	36.0
24-25	35.118598500475706	36.0	36.0	36.0	36.0	36.0
26-27	35.04479405220972	36.0	36.0	36.0	36.0	36.0
28-29	35.005734775323944	36.0	36.0	36.0	36.0	36.0
30-31	34.97306805217603	36.0	36.0	36.0	36.0	36.0
32-33	34.93326153901205	36.0	36.0	36.0	36.0	36.0
34-35	34.916958501022975	36.0	36.0	36.0	36.0	36.0
36-37	34.88671070485423	36.0	36.0	36.0	36.0	36.0
38-39	34.8328035762668	36.0	36.0	36.0	36.0	36.0
40-41	34.76619171259311	36.0	36.0	36.0	36.0	36.0
42-43	34.610939449947544	36.0	36.0	36.0	34.0	36.0
44-45	34.378323866152684	36.0	36.0	36.0	32.0	36.0
46-47	34.429207908281825	36.0	36.0	36.0	32.0	36.0
48-49	34.3143039789742	36.0	36.0	36.0	32.0	36.0
50-51	34.34972436199812	36.0	36.0	36.0	32.0	36.0
52-53	34.249143571263204	36.0	36.0	36.0	32.0	36.0
54-55	34.169110573795976	36.0	36.0	36.0	32.0	36.0
56-57	33.98019311286679	36.0	36.0	36.0	32.0	36.0
58-59	34.0403243728055	36.0	36.0	36.0	32.0	36.0
60-61	33.9376199523589	36.0	36.0	36.0	32.0	36.0
62-63	33.81958421261344	36.0	36.0	36.0	29.5	36.0
64-65	33.96690174151351	36.0	36.0	36.0	32.0	36.0
66-67	33.87582684125562	36.0	36.0	36.0	29.5	36.0
68-69	34.02503497146193	36.0	36.0	36.0	32.0	36.0
70-71	33.984104142263234	36.0	36.0	36.0	32.0	36.0
72-73	33.752151010292906	36.0	36.0	36.0	27.0	36.0
74-75	33.640621280082456	36.0	36.0	36.0	27.0	36.0
76	32.63466989263572	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.03840695575765096
11101	2	-0.05482517876932036
11101	3	-0.016145107925712665
11101	4	0.01886550312890023
11101	5	-0.005619160902547549
11101	6	-0.06788160117199737
11101	7	-0.017120005853612952
11101	8	-0.08970492245122585
11101	9	-0.08572127187261458
11101	10-11	-0.018859483585458747
11101	12-13	-0.10387088244326037
11101	14-15	-0.0626958883929305
11101	16-17	-0.09191726102095998
11101	18-19	-0.0430671477465836
11101	20-21	-0.06779373106941478
11101	22-23	-0.04840792897911683
11101	24-25	-0.015641306218469708
11101	26-27	-0.06340534763420891
11101	28-29	-0.09745113753649548
11101	30-31	-0.0913173775084104
11101	32-33	-0.04961036940682817
11101	34-35	-0.10063633371427017
11101	36-37	-0.08375144012583036
11101	38-39	-0.051018969544117
11101	40-41	-0.042202245379179715
11101	42-43	0.001576004257614727
11101	44-45	0.12814079619037244
11101	46-47	0.0066313710861720665
11101	48-49	0.12465171161441901
11101	50-51	-0.05403611459824731
11101	52-53	0.007865904563892911
11101	54-55	0.10576176901930268
11101	56-57	0.119938176361579
11101	58-59	0.0062438970179741204
11101	60-61	3.1742590974204177E-4
11101	62-63	0.17293432265834952
11101	64-65	-0.030253818859151238
11101	66-67	0.05701444994490146
11101	68-69	-0.14086424025003197
11101	70-71	-0.10562942802279451
11101	72-73	0.04268307898415458
11101	74-75	0.12236746525003639
11101	76	0.4794963601826794
11102	1	-0.06560661606606288
11102	2	0.08516002007510792
11102	3	0.04434037981170391
11102	4	0.0030848651056665233
11102	5	-0.03288456135739892
11102	6	0.05691795626853491
11102	7	-0.13212941024232805
11102	8	0.03878159792495239
11102	9	-0.06627466790187242
11102	10-11	-0.040335099788052275
11102	12-13	-0.04798186652341485
11102	14-15	-0.08435846138451097
11102	16-17	0.022871970031964395
11102	18-19	0.028966806399338907
11102	20-21	0.007172007451700324
11102	22-23	-0.0291793593067311
11102	24-25	0.009084884696768825
11102	26-27	-0.017559579609134346
11102	28-29	-0.06976267481598342
11102	30-31	-0.02308311602953239
11102	32-33	-0.030989605991742053
11102	34-35	0.005366247882633957
11102	36-37	-0.026073464539315694
11102	38-39	-0.05400026893224208
11102	40-41	0.055746873705771804
11102	42-43	-0.07679994070412022
11102	44-45	0.036593773338935875
11102	46-47	0.044589128733690586
11102	48-49	-0.05304949570022899
11102	50-51	0.07806523526139841
11102	52-53	-0.03862641838670555
11102	54-55	0.09529408777866166
11102	56-57	-0.020492037468315516
11102	58-59	0.10882775381426057
11102	60-61	0.0728380834855642
11102	62-63	0.09286943690958083
11102	64-65	0.03567436600893359
11102	66-67	-0.018702360810102903
11102	68-69	-0.11408259297935075
11102	70-71	0.05231865728330831
11102	72-73	0.07298611278996248
11102	74-75	0.06614871704888259
11102	76	0.23262117076816224
11103	1	0.04454438016441742
11103	2	0.04881236256299104
11103	3	0.08548459090486205
11103	4	0.03278093403404725
11103	5	0.05193094752790017
11103	6	-0.027299598928017588
11103	7	-0.09773845709208473
11103	8	-0.0677782297540972
11103	9	0.15742463204427537
11103	10-11	0.12518477097123792
11103	12-13	0.11316234456974428
11103	14-15	0.026312082503480383
11103	16-17	0.12143524412996243
11103	18-19	0.07506739875259427
