Sample ID,Total Reads,Passing Reads,% Passed Reads,Mapped Reads,% Mapped Reads,Duplicate Reads,% Duplicate Reads,Unique Reads,% Unique Reads,% Unique of Mapped
Combo-2-H3K27ac_S16_L002,4565314,4565314,100.0,4007131,87.77339302400668,0,0.0,4007131,87.77339302400668,100.0
Combo-2-H3K27ac_S16_L003,4658710,4658710,100.0,4087675,87.74263691021763,0,0.0,4087675,87.74263691021763,100.0
Combo-2-H3K27ac_S16_L004,4638246,4638246,100.0,4075750,87.8726570345773,0,0.0,4075750,87.8726570345773,100.0
CBP-2-input_S7_L003,6618786,6618786,100.0,6220226,93.97835192133421,0,0.0,6220226,93.97835192133421,100.0
Combo-2-H3K27ac_S16_L001,4609246,4609246,100.0,4035191,87.54557686875467,0,0.0,4035191,87.54557686875467,100.0
DMSO-2-input_S5_L004,7799396,7799396,100.0,7349649,94.2335662915436,0,0.0,7349649,94.2335662915436,100.0
RUX-2-H3K27ac_S14_L003,7680288,7680288,100.0,6850051,89.19002776979197,0,0.0,6850051,89.19002776979197,100.0
CBP-2-H3K27ac_S15_L002,7904542,7904542,100.0,6945049,87.8614978578139,0,0.0,6945049,87.8614978578139,100.0
Combo-2-input_S8_L004,7946710,7946710,100.0,7572615,95.29245436161632,0,0.0,7572615,95.29245436161632,100.0
DMSO-2-input_S5_L003,7856158,7856158,100.0,7398704,94.1771283113196,0,0.0,7398704,94.1771283113196,100.0
CBP-2-input_S7_L001,6531732,6531732,100.0,6129625,93.8437921212934,0,0.0,6129625,93.8437921212934,100.0
DMSO-2-input_S5_L002,7668380,7668380,100.0,7218706,94.135997433617,0,0.0,7218706,94.135997433617,100.0
DMSO-2-input_S5_L001,7762190,7762190,100.0,7303321,94.08840803948371,0,0.0,7303321,94.08840803948371,100.0
CBP-2-H3K27ac_S15_L004,8036012,8036012,100.0,7068601,87.96155356661987,0,0.0,7068601,87.96155356661987,100.0
RUX-2-H3K27ac_S14_L004,7654216,7654216,100.0,6828035,89.20619695080462,0,0.0,6828035,89.20619695080462,100.0
CBP-2-input_S7_L004,6570414,6570414,100.0,6179233,94.04632645674991,0,0.0,6179233,94.04632645674991,100.0
CBP-2-input_S7_L002,6453652,6453652,100.0,6062278,93.93561970803508,0,0.0,6062278,93.93561970803508,100.0
RUX-2-H3K27ac_S14_L002,7526644,7526644,100.0,6706963,89.10960847889179,0,0.0,6706963,89.10960847889179,100.0
RUX-2-H3K27ac_S14_L001,7601344,7601344,100.0,6767604,89.03167650352358,0,0.0,6767604,89.03167650352358,100.0
RUX-2-input_S6_L003,8699768,8699768,100.0,8229447,94.59386733071503,0,0.0,8229447,94.59386733071503,100.0
CBP-2-H3K27ac_S15_L003,8072558,8072558,100.0,7099650,87.94795899887,0,0.0,7099650,87.94795899887,100.0
DMSO-2-H3K27ac_S13_L004,9077376,9077376,100.0,7856164,86.54664079134763,0,0.0,7856164,86.54664079134763,100.0
RUX-2-input_S6_L002,8464140,8464140,100.0,8002133,94.54159548400665,0,0.0,8002133,94.54159548400665,100.0
Combo-2-input_S8_L001,7913478,7913478,100.0,7530526,95.16076243593525,0,0.0,7530526,95.16076243593525,100.0
Combo-2-input_S8_L003,8006740,8006740,100.0,7628173,95.27189592768093,0,0.0,7628173,95.27189592768093,100.0
RUX-2-input_S6_L004,8626792,8626792,100.0,8163397,94.62842039080112,0,0.0,8163397,94.62842039080112,100.0
Combo-2-input_S8_L002,7802414,7802414,100.0,7426518,95.18231152563808,0,0.0,7426518,95.18231152563808,100.0
CBP-1-input_S3_L002,11358408,11358408,100.0,11181108,98.43904180938033,0,0.0,11181108,98.43904180938033,100.0
DMSO-2-H3K27ac_S13_L001,9035194,9035194,100.0,7807127,86.40796202051666,0,0.0,7807127,86.40796202051666,100.0
CBP-2-H3K27ac_S15_L001,7976506,7976506,100.0,7003940,87.80711755247222,0,0.0,7003940,87.80711755247222,100.0
DMSO-2-H3K27ac_S13_L003,9131998,9131998,100.0,7899611,86.50473861251393,0,0.0,7899611,86.50473861251393,100.0
CBP-1-input_S3_L004,11565168,11565168,100.0,11392562,98.50753573143079,0,0.0,11392562,98.50753573143079,100.0
RUX-2-input_S6_L001,8588498,8588498,100.0,8116492,94.50420783703973,0,0.0,8116492,94.50420783703973,100.0
DMSO-2-H3K27ac_S13_L002,8931532,8931532,100.0,7721782,86.45529120871986,0,0.0,7721782,86.45529120871986,100.0
Combo-1-input_S4_L002,11538648,11538648,100.0,11345375,98.32499440142381,0,0.0,11345375,98.32499440142381,100.0
CBP-1-input_S3_L001,11639452,11639452,100.0,11457831,98.43960866886174,0,0.0,11457831,98.43960866886174,100.0
DMSO-1-input_S1_L004,14138636,14138636,100.0,13918176,98.44072653118731,0,0.0,13918176,98.44072653118731,100.0
CBP-1-input_S3_L003,11696890,11696890,100.0,11520474,98.49177003459893,0,0.0,11520474,98.49177003459893,100.0
Combo-1-input_S4_L003,11883490,11883490,100.0,11690760,98.37817004937102,0,0.0,11690760,98.37817004937102,100.0
RUX-1-input_S2_L001,14260512,14260512,100.0,14040116,98.45450149335451,0,0.0,14040116,98.45450149335451,100.0
Combo-1-input_S4_L001,11735928,11735928,100.0,11538718,98.3196045510845,0,0.0,11538718,98.3196045510845,100.0
Combo-1-input_S4_L004,11768088,11768088,100.0,11578706,98.39071563706867,0,0.0,11578706,98.39071563706867,100.0
RUX-1-input_S2_L002,13998956,13998956,100.0,13784656,98.46917155822192,0,0.0,13784656,98.46917155822192,100.0
DMSO-1-input_S1_L003,14279264,14279264,100.0,14055131,98.43036027627194,0,0.0,14055131,98.43036027627194,100.0
CBP-1-H3K27ac_S11_L002,15725070,15725070,100.0,15417100,98.04153495024187,0,0.0,15417100,98.04153495024187,100.0
DMSO-1-input_S1_L002,13843294,13843294,100.0,13619745,98.3851459053026,0,0.0,13619745,98.3851459053026,100.0
Combo-1-H3K27ac_S12_L003,16572354,16572354,100.0,16161566,97.52124532217934,0,0.0,16161566,97.52124532217934,100.0
CBP-1-H3K27ac_S11_L001,16075752,16075752,100.0,15755290,98.00655048672063,0,0.0,15755290,98.00655048672063,100.0
RUX-1-input_S2_L003,14444154,14444154,100.0,14228652,98.50803307691125,0,0.0,14228652,98.50803307691125,100.0
RUX-1-input_S2_L004,14283342,14283342,100.0,14072759,98.52567417345325,0,0.0,14072759,98.52567417345325,100.0
Combo-1-H3K27ac_S12_L002,16112196,16112196,100.0,15706227,97.48036208099752,0,0.0,15706227,97.48036208099752,100.0
DMSO-1-input_S1_L001,14085282,14085282,100.0,13855576,98.36917713113588,0,0.0,13855576,98.36917713113588,100.0
DMSO-1-H3K27ac_S9_L002,16913036,16913036,100.0,16585637,98.06422099497689,0,0.0,16585637,98.06422099497689,100.0
CBP-1-H3K27ac_S11_L004,15978698,15978698,100.0,15677217,98.11323175392639,0,0.0,15677217,98.11323175392639,100.0
Combo-1-H3K27ac_S12_L001,16357696,16357696,100.0,15940601,97.45016046269596,0,0.0,15940601,97.45016046269596,100.0
DMSO-1-H3K27ac_S9_L004,17218704,17218704,100.0,16897226,98.13297214470961,0,0.0,16897226,98.13297214470961,100.0
Combo-1-H3K27ac_S12_L004,16397818,16397818,100.0,15996736,97.55405261846424,0,0.0,15996736,97.55405261846424,100.0
CBP-1-H3K27ac_S11_L003,16166436,16166436,100.0,15857473,98.08886139158935,0,0.0,15857473,98.08886139158935,100.0
DMSO-1-H3K27ac_S9_L001,17203354,17203354,100.0,16864785,98.03195934932222,0,0.0,16864785,98.03195934932222,100.0
DMSO-1-H3K27ac_S9_L003,17389504,17389504,100.0,17061676,98.11479384345867,0,0.0,17061676,98.11479384345867,100.0
RUX-1-H3K27ac_S10_L001,27950964,27950964,100.0,27243494,97.46888872956224,0,0.0,27243494,97.46888872956224,100.0
RUX-1-H3K27ac_S10_L002,27557046,27557046,100.0,26867454,97.49758373956338,0,0.0,26867454,97.49758373956338,100.0
RUX-1-H3K27ac_S10_L004,28049606,28049606,100.0,27365565,97.5613169040592,0,0.0,27365565,97.5613169040592,100.0
RUX-1-H3K27ac_S10_L003,28315794,28315794,100.0,27620219,97.54350875698559,0,0.0,27620219,97.54350875698559,100.0
